startTime,endTime,space,name,,
2017-10-28T10:00:00Z,2017-10-28T11:00:00Z,shed1,Design & Deception: A Crash Course in Data Distortion,,
2017-10-28T10:00:00Z,2017-10-28T11:00:00Z,shed2,Building Google Docs without the Google (CRDT + IPFS),,
2017-10-28T10:00:00Z,2017-10-28T11:00:00Z,talk1,"Blockchain and Film Distribution",,
2017-10-28T10:00:00Z,2017-10-28T11:00:00Z,talk2,Decentralisation and Dignity against Digital Colonialism,,
2017-10-28T10:00:00Z,2017-10-28T11:00:00Z,talk3,Introducing the IndieWeb Movement,,
2017-10-28T10:00:00Z,2017-10-28T11:00:00Z,gallery,The Technology for Social Justice Field Scan Exhibition,,
2017-10-28T11:15:00Z,2017-10-28T12:45:00Z,shed1,Explore Parallel Processing by building a hands on design challenge,,
2017-10-28T11:15:00Z,2017-10-28T12:45:00Z,shed2,Demystifying Ethereum to build your own decentralised app (Dapp) using blockchain,,
2017-10-28T11:15:00Z,2017-10-28T12:45:00Z,talk1,A connected world of music,,
2017-10-28T11:15:00Z,2017-10-28T12:45:00Z,talk2,Just Numbers,,
2017-10-28T11:15:00Z,2017-10-28T12:45:00Z,talk3,Algorithmically Mediated Online Information Access (AMOIA),,
2017-10-28T11:15:00Z,2017-10-28T12:45:00Z,gallery,Wring your Fibre,,
2017-10-28T14:00:00Z,2017-10-28T15:00:00Z,shed1,Host your data on the peer to peer web with Dat,,
2017-10-28T14:00:00Z,2017-10-28T15:00:00Z,shed2,Databox - Decentering Personal Data Processing,,
2017-10-28T14:00:00Z,2017-10-28T15:00:00Z,talk1,Let’s Keep Our Chat Local,,
2017-10-28T14:00:00Z,2017-10-28T15:00:00Z,talk2,Mozilla - A role model for modern diplomacy,,
2017-10-28T14:00:00Z,2017-10-28T15:00:00Z,gallery,Artist Open Studio,,
2017-10-28T15:15:00Z,2017-10-28T16:15:00Z,shed1,Create your own off-grid long-range mobile mesh networks,,
2017-10-28T15:15:00Z,2017-10-28T16:15:00Z,shed2,Where did the internet go? Fighting shutdowns around school exams,,
2017-10-28T15:15:00Z,2017-10-28T16:15:00Z,talk1,"Rolling back the ad-dependency, funding content peer-to-peer",,
2017-10-28T15:15:00Z,2017-10-28T16:15:00Z,talk2,Decentralising academic publishing with Althea,,
2017-10-28T15:15:00Z,2017-10-28T16:15:00Z,talk3,Putting professionals at the heart of education in the internet age,,
2017-10-28T16:30:00Z,2017-10-28T17:30:00Z,talk1,Re-decentralizing the Web with a peer-to-peer browser,,
2017-10-28T16:30:00Z,2017-10-28T17:30:00Z,talk2,Dating on the Open Web,,
2017-10-28T16:30:00Z,2017-10-28T17:30:00Z,talk3,Will the Open Internet Survive?,,
2017-10-28T15:15:00Z,2017-10-28T17:30:00Z,gallery,Decentralisation in digital ecosystems. Is there a hidden centre?,,
2017-10-29T11:00:00Z,2017-10-29T12:00:00Z,shed1,Workshop on how to conduct a focal Open Data evaluation for your country,,
2017-10-29T11:00:00Z,2017-10-29T12:00:00Z,shed2,Blockchain for research: a real opportunity or just hype?,,
2017-10-29T11:00:00Z,2017-10-29T12:00:00Z,talk1,Introduction to Code Club,,
2017-10-29T11:00:00Z,2017-10-29T12:00:00Z,talk2,3.0: Distributed Cloud Storage,,
2017-10-29T11:00:00Z,2017-10-29T13:00:00Z,gallery,The Big Open - Joining Forces on the Quest for the Free and Open,,
2017-10-29T12:15:00Z,2017-10-29T13:15:00Z,talk1,Co-op? So what? - a collaborative think-a-thon,,
2017-10-29T14:00:00Z,2017-10-29T15:00:00Z,shed2,A digital dérive,,
2017-10-29T14:00:00Z,2017-10-29T15:00:00Z,talk1,Where did the internet go? Fighting shutdowns around school exams,,
2017-10-29T14:00:00Z,2017-10-29T15:00:00Z,talk2,The ActivityPub Network,,
2017-10-29T14:00:00Z,2017-10-29T15:00:00Z,gallery,"Blockchain Mesh Networks",,
2017-10-29T15:15:00Z,2017-10-29T16:15:00Z,shed1,(Platform) Co-ops & Dragons: role play the board game,,
2017-10-29T15:15:00Z,2017-10-29T16:15:00Z,shed2,Portable Network Kits (PNK),,
2017-10-29T15:15:00Z,2017-10-29T16:15:00Z,talk1,Read/write web browsers,,
2017-10-29T15:15:00Z,2017-10-29T16:15:00Z,talk2,TV Archives cracked open - “AI for IA” - Artificial Intelligence for Internet Archive,,
2017-10-29T15:15:00Z,2017-10-29T17:30:00Z,gallery,"Open Data / Open Minds: Exploration in Data, Literacy, Craft & Code",,
2017-10-29T16:30:00Z,2017-10-29T17:30:00Z,talk1,Hijacking the medium of public space,,
2017-10-29T16:30:00Z,2017-10-29T17:30:00Z,talk2,Explore Parallel Processing by building a hands on design challenge,,
2017-10-29T12:15:00Z,2017-10-29T13:15:00Z,library,The Distributed Web,,
2017-10-29T14:00:00Z,2017-10-29T15:00:00Z,library,InterPlanetary Linked-Data,,
